@relation '179211L2_2-weka.filters.unsupervised.attribute.Reorder-R2-10,1'

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute plec {kobieta,mezczyzna}
@attribute rodzaj_zrodla_dochodu {13,11,16,12,98,99,17,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobieral_dochod numeric
@attribute okres_w_jakim_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric
@attribute status_pozyczki {splacona_cz,splacona,windykacja_sp,odmowa,windykacja}

@data
500,62,mezczyzna,16,837,0,234.328542,48,0,splacona
300,71,mezczyzna,13,1420,1,55.704312,48,0,splacona_cz
300,23,mezczyzna,99,1100,0,6.328542,7,0,odmowa
500,32,mezczyzna,11,2180.09,0,53.295688,48,278,windykacja_sp
500,54,mezczyzna,11,1320,7,345.328542,48,0,splacona_cz
300,47,kobieta,11,900,7,96.328542,48,4,splacona_cz
330.11,65,kobieta,13,840,5,116.328542,48,5,splacona_cz
300,36,kobieta,12,1200,7,11.901437,14.558522,3,splacona_cz
500,36,mezczyzna,11,1186,0,13.328542,48,35,windykacja_sp
200,32,mezczyzna,11,2000,1,8.065708,48,0,splacona_cz
2000,73,mezczyzna,13,2612,0,84.671458,48,0,splacona
500,37,kobieta,12,1000,0,58.361396,48,0,odmowa
200,64,mezczyzna,13,1287.66,6,99.361396,48,5,splacona_cz
400,47,mezczyzna,99,1400,0,19.361396,19.985626,0,splacona
200,34,kobieta,11,1050,0,2.328542,48,0,odmowa
600,56,kobieta,12,1350,1,25.361396,25.985626,17,splacona_cz
476.83,62,mezczyzna,11,1250,0,68.328542,48,14,splacona
388.49,36,mezczyzna,11,1850,2,58.361396,48,442,windykacja
200,43,mezczyzna,12,1500,0,37.704312,73.328542,269,windykacja_sp
200,70,kobieta,16,959.6,7,118.361396,48,0,splacona_cz
400,35,kobieta,11,980.11,4,47.868583,48,241,splacona
389.72,55,kobieta,12,1000,1,48.098563,48,2,splacona_cz
550,55,kobieta,12,1675,7,12.361396,12.985626,3,splacona_cz
282.28,49,mezczyzna,11,1600,1,345.361396,48,3,splacona_cz
450,69,kobieta,13,1019,0,135.507187,48,6,splacona_cz
500,51,mezczyzna,11,2400,1,255.361396,48,442,windykacja
200,42,kobieta,11,1000,0,64.361396,48,11,splacona
200,67,kobieta,16,1641,0,168.394251,48,0,odmowa
200,73,kobieta,13,730,6,563.835729,48,0,splacona_cz
246.46,66,mezczyzna,13,1559,2,74.394251,48,0,splacona
300,44,kobieta,11,1400,1,28.164271,48,0,splacona
230.9,79,kobieta,13,1239.98,5,258.394251,48,0,splacona
437.15,63,kobieta,13,820,2,34.328542,48,0,splacona
300,50,mezczyzna,13,3900,8,33.394251,48,1,splacona_cz
276.75,53,kobieta,11,1050,6,36.408624,48,0,splacona_cz
600,73,mezczyzna,13,2612,0,84.704312,48,0,splacona
400,51,mezczyzna,13,989.62,0,276.394251,48,0,odmowa
207.19,66,kobieta,13,1350,6,114.22998,48,1,splacona_cz
450,31,mezczyzna,12,993,0,6.394251,15.065708,0,odmowa
300,74,kobieta,13,1412,1,207.197125,48,0,splacona_cz
441.54,36,kobieta,98,4000,7,21.671458,48,3,splacona_cz
247.28,58,kobieta,13,611,6,142.131417,48,1,splacona_cz
300,71,kobieta,13,729.03,1,260.427105,48,1,splacona_cz
200,46,kobieta,11,1344.9,6,49.032854,48,440,windykacja
202.28,61,mezczyzna,11,3000,8,215.427105,48,1,splacona_cz
1000,48,kobieta,11,5800,7,57.427105,48,2,splacona_cz
500,76,kobieta,13,1248,1,253.492813,48,1,splacona_cz
500,61,kobieta,13,1000,7,71.032854,48,1,splacona_cz
500,70,kobieta,13,1082,0,180,48,0,odmowa
400,64,kobieta,13,917,1,79.492813,48,0,splacona_cz
500,48,mezczyzna,13,864.34,2,159.492813,48,0,splacona_cz
700,69,kobieta,16,980,1,133.77002,48,6,splacona_cz
200,62,kobieta,13,765,0,624.492813,48,0,odmowa
300,51,mezczyzna,12,1000,5,46.197125,62.361396,0,splacona
300,63,mezczyzna,15,1100.79,0,93.492813,48,0,splacona
200,22,kobieta,12,700,0,3.197125,5.689938,0,splacona_cz
430,39,mezczyzna,11,2470,4,69.361396,48,2,splacona_cz
300,67,mezczyzna,13,2110,1,104.492813,48,7,splacona_cz
200,57,kobieta,11,1172.2,7,40.492813,48,5,splacona_cz
200,54,kobieta,17,432.87,0,148.492813,48,0,odmowa
350,55,kobieta,12,1700,8,57.967146,48,0,splacona_cz
300,23,mezczyzna,98,1500,0,10.605749,48,0,odmowa
200,58,mezczyzna,11,1800,1,163.60575,48,2,splacona_cz
700,35,mezczyzna,12,1700,0,0.492813,2.985626,0,odmowa
523.43,33,mezczyzna,11,2050,2,121.098563,48,1,splacona
624.85,52,kobieta,11,3200,7,57,48,5,splacona_cz
537.15,63,kobieta,13,962,3,68.525667,48,0,splacona_cz
437.15,62,kobieta,13,1362,7,59.492813,48,5,splacona_cz
600,44,kobieta,11,1443,2,36.540041,48,1,splacona_cz
200,21,mezczyzna,17,985,8,16.525667,17.722793,11,splacona
235.97,66,mezczyzna,12,1100,7,25.394251,35.967146,0,splacona_cz
200,76,kobieta,13,616,7,249.525667,48,1,splacona
300,57,kobieta,11,1800,0,114.572895,48,0,splacona_cz
400,57,mezczyzna,11,1842.86,6,10.737166,48,1,splacona_cz
693.7,39,kobieta,11,1900,3,210.671458,48,13,splacona
700,57,mezczyzna,98,2500,0,228.525667,48,0,splacona
400,54,mezczyzna,11,4000,8,13.492813,48,1,splacona_cz
300,60,mezczyzna,11,2000,2,72.572895,48,0,splacona_cz
200,38,kobieta,12,599.03,0,22.558522,22.985626,11,splacona
399.22,40,kobieta,11,1239.05,0,207.558522,48,7,splacona_cz
600,46,mezczyzna,12,3500,2,189.770021,48,0,splacona_cz
600,62,kobieta,13,1050,8,142.558522,48,3,splacona_cz
400,52,mezczyzna,11,1800,4,262.558522,48,12,splacona
200,27,mezczyzna,12,1100,0,36.558522,59.985626,10,splacona
300,27,kobieta,11,2300,0,25.558522,48,0,splacona
400,55,kobieta,11,1500,0,113.558522,48,0,splacona
200,73,kobieta,13,785,4,67.591376,48,2,splacona_cz
396.55,55,kobieta,11,2368.57,0,413.591376,48,0,splacona_cz
200,28,mezczyzna,12,1400,2,3.967146,5.37577,0,splacona_cz
300,61,kobieta,13,810,8,36.262834,48,0,splacona_cz
300,38,kobieta,12,1382,1,24.591376,35.985626,0,splacona_cz
500,53,mezczyzna,11,2011,1,214.591376,48,4,splacona_cz
700,48,kobieta,12,830.46,6,48.492813,48,4,splacona_cz
300,76,kobieta,13,1000,1,214.591376,48,279,splacona
500,59,mezczyzna,16,1770,8,92.591376,48,2,splacona_cz
505,62,mezczyzna,13,1500,0,26.591376,48,16,splacona
500,55,kobieta,12,2200,0,6.229979,11.591376,0,splacona_cz
550,63,kobieta,13,1474.55,0,68.591376,48,2,splacona_cz
300,26,mezczyzna,11,1600,0,6.591376,48,3,splacona_cz
200,43,mezczyzna,12,1573,0,8.591376,28.952772,0,odmowa
800,58,mezczyzna,12,2500,6,7.737166,10.131417,3,splacona_cz
292.28,67,kobieta,13,1428.55,1,140.361396,48,4,splacona_cz
200,72,kobieta,13,722.05,7,200.591376,48,230,windykacja_sp
700,60,mezczyzna,11,2800,0,99.065708,48,0,splacona_cz
300,53,mezczyzna,12,1036,0,5.62423,11.985626,0,odmowa
200,71,mezczyzna,13,650,0,156.62423,48,0,odmowa
800,53,mezczyzna,16,1280,0,379.361396,48,0,odmowa
1000,58,mezczyzna,13,3600,2,89.62423,48,0,splacona_cz
400,55,mezczyzna,11,1300,1,37.62423,48,433,windykacja
290,62,kobieta,13,1280,8,20.62423,48,0,splacona_cz
351.55,39,kobieta,11,2927,6,204.62423,48,1,splacona_cz
1000,35,mezczyzna,11,3400,0,180.591376,48,0,odmowa
313.15,36,kobieta,11,2709.34,8,184.62423,48,0,splacona_cz
200,62,kobieta,13,992.96,4,15.164271,48,0,splacona
1000,33,mezczyzna,12,1800,0,5.62423,7.985626,0,odmowa
400,50,kobieta,11,1764,1,67.525667,48,0,splacona_cz
345.97,55,kobieta,11,1721.7,8,123.62423,48,2,splacona_cz
390.11,60,kobieta,12,1320,1,12.657084,35,1,splacona_cz
300,78,kobieta,13,1239,0,273.657084,48,5,splacona_cz
200,61,kobieta,13,1800,2,72.657084,48,0,splacona
400,73,mezczyzna,13,1870,3,88.657084,48,226,windykacja_sp
300,32,mezczyzna,11,2725,0,56,48,1,splacona_cz
300,31,mezczyzna,12,1700,0,0.657084,119.985626,0,splacona
500,73,mezczyzna,13,1700,7,17.657084,48,433,windykacja
300,59,kobieta,13,1240,0,73.361396,48,0,splacona_cz
500,57,mezczyzna,13,1900,8,153.722793,48,2,splacona_cz
1000,32,mezczyzna,98,2600,0,20.722793,48,0,odmowa
500,75,kobieta,13,1373,0,113.722793,48,0,splacona_cz
292.28,63,mezczyzna,13,2000,1,37.722793,48,0,splacona_cz
400,45,mezczyzna,11,3300,1,240.032854,48,0,splacona_cz
295.57,49,kobieta,11,1077.49,2,375.032854,48,1,splacona_cz
400,68,kobieta,13,1094,0,187.722793,48,0,splacona_cz
300,41,kobieta,11,1100,0,60.722793,48,16,splacona
487.15,50,mezczyzna,11,2500,2,377.722793,48,1,splacona_cz
200,27,kobieta,12,1100,4,18.722793,29.985626,2,splacona_cz
600,72,kobieta,13,1667,0,159.328542,48,0,splacona
500,46,kobieta,11,3000,2,96.722793,48,7,splacona_cz
250,46,mezczyzna,11,2100,3,53.722793,48,0,splacona_cz
500,59,kobieta,13,1883.53,0,50.525667,48,0,splacona
600,63,mezczyzna,13,2474,0,18.591376,48,0,splacona_cz
800,62,kobieta,13,5100,3,31.722793,48,0,splacona_cz
1000,53,kobieta,11,1200,0,33.065708,48,0,odmowa
337.15,60,kobieta,13,1300,1,33.722793,48,0,splacona_cz
300,57,mezczyzna,11,1170,0,70.722793,48,0,splacona_cz
359.6,41,mezczyzna,11,1261.98,0,39.755647,48,0,splacona_cz
600,50,kobieta,11,2800,0,321.901437,48,8,splacona_cz
600,33,kobieta,11,1331.21,7,22.755647,48,1,splacona_cz
206,31,mezczyzna,12,1521,4,23.755647,30.985626,1,splacona
600,54,kobieta,16,1362,0,32.755647,48,0,splacona_cz
300,54,kobieta,16,1740,1,117.394251,48,2,splacona_cz
389.72,53,kobieta,98,3000,4,88.755647,48,1,splacona_cz
400,76,kobieta,13,1900,4,124.755647,48,1,splacona_cz
203.42,30,mezczyzna,11,1888.27,2,80.657084,48,6,splacona_cz
300,38,kobieta,12,2000,0,92.657084,48,0,splacona_cz
290.88,62,kobieta,13,1090.14,7,78.755647,48,1,splacona_cz
455.59,45,kobieta,11,2245.01,2,148.770021,48,6,splacona_cz
550,60,mezczyzna,13,3900,0,117.657084,48,0,splacona_cz
500,52,kobieta,11,1700,7,309.065708,48,4,splacona_cz
200,54,kobieta,99,1100,5,54.934292,48,0,splacona_cz
400,61,kobieta,13,1425,0,82.788501,48,0,splacona_cz
300,58,kobieta,11,1680,7,388.788501,48,4,splacona_cz
200,62,kobieta,13,984,3,14.197125,48,0,splacona_cz
300,66,kobieta,13,1400,1,121.788501,48,1,splacona_cz
500,76,mezczyzna,13,1150,0,141.788501,48,1,splacona_cz
300,54,mezczyzna,11,981,0,23.755647,48,0,splacona_cz
378.53,45,mezczyzna,12,1963.88,7,9.788501,20.952772,429,windykacja
308.63,71,kobieta,13,1291.18,8,82.788501,48,4,splacona
400,67,kobieta,13,850,7,70.558522,48,4,splacona_cz
200,71,kobieta,13,865,8,131.098563,48,1,splacona_cz
200,75,mezczyzna,13,860,0,120.788501,48,429,windykacja
389.52,52,mezczyzna,11,1400,2,42.164271,48,429,windykacja
1000,43,mezczyzna,11,2263,0,78.821355,48,2,splacona
239.72,69,mezczyzna,13,1162.41,2,107.821355,48,0,splacona_cz
384.56,36,mezczyzna,11,1058,3,17.722793,48,2,splacona_cz
300,62,kobieta,13,1374,1,49.821355,48,6,splacona
300,30,mezczyzna,11,1590,2,56.788501,48,0,splacona_cz
489.57,48,mezczyzna,13,1500,2,89.525667,48,0,splacona_cz
500,61,mezczyzna,11,2100,7,190.821355,48,428,windykacja
200,62,kobieta,13,744.07,1,15.868583,48,10,splacona
560.68,59,kobieta,13,1801.41,3,40.868583,48,9,splacona
300,64,kobieta,13,1014,2,186.427105,48,9,splacona_cz
830,60,kobieta,13,1400,3,249.821355,48,6,splacona_cz
200,54,mezczyzna,11,1300,0,455.558522,48,0,splacona
300,22,mezczyzna,12,952.89,3,25.967146,26.131417,0,splacona
500,71,kobieta,13,1200,7,122.558522,48,4,splacona_cz
200,71,kobieta,13,1200,1,122.558522,48,4,splacona_cz
600,81,mezczyzna,13,2547,2,198,48,0,splacona_cz
500,60,mezczyzna,11,2300,0,75.821355,48,2,splacona
326.67,64,kobieta,13,1668,8,94.854209,48,0,splacona_cz
500,57,mezczyzna,13,1553,1,112.689938,48,0,splacona
200,28,mezczyzna,17,728,8,103.854209,48,0,splacona_cz
400,64,mezczyzna,13,3900,0,37.854209,48,0,splacona
200,60,kobieta,13,1000,0,60.755647,48,9,splacona_cz
200,73,mezczyzna,13,1700,0,17.854209,48,426,windykacja
450,47,mezczyzna,11,2300,0,123.328542,48,0,splacona_cz
299.15,53,kobieta,11,1400,4,164.854209,48,0,splacona_cz
200,54,mezczyzna,11,2094.17,4,244.361396,48,1,splacona_cz
300,80,kobieta,13,1167.94,3,372.854209,48,0,splacona_cz
1136.54,36,mezczyzna,12,1500,4,36.788501,36.887064,426,windykacja
500,50,kobieta,11,1800,8,56.62423,48,1,splacona_cz
770.69,64,kobieta,13,860,2,83.591376,48,3,splacona_cz
200,66,mezczyzna,13,1611,0,144.887064,48,0,splacona_cz
200,72,kobieta,13,892,0,216.854209,48,0,odmowa
500,37,mezczyzna,12,2000,0,36.459959,71.492813,0,splacona_cz
200,55,kobieta,11,1400,8,120.328542,48,0,splacona
200,57,kobieta,98,980,7,13.427105,48,0,splacona_cz
500,37,mezczyzna,11,3898,3,184.525667,48,5,splacona_cz
300,55,kobieta,12,1756,0,2.427105,2.967146,0,splacona_cz
400,63,kobieta,13,1650,0,85.952772,48,0,splacona_cz
500,37,mezczyzna,11,2800,0,158.952772,48,2,splacona
300,71,kobieta,13,1389,0,71.952772,48,0,splacona_cz
423.23,32,mezczyzna,11,2700,7,18.887064,48,9,splacona_cz
600,25,kobieta,12,1156,0,4.919918,12.919918,0,odmowa
200,66,kobieta,13,974,0,204.952772,48,0,splacona_cz
400,46,mezczyzna,11,2600,0,5.919918,48,0,splacona
300,23,kobieta,12,1500,7,7.952772,18,0,splacona_cz
500,33,mezczyzna,12,1400,0,6.952772,29.985626,0,odmowa
500,54,mezczyzna,11,2080,2,321.952772,48,2,splacona_cz
200,54,kobieta,16,749.28,8,68.985626,48,0,splacona_cz
249.3,58,kobieta,16,2100,3,42.328542,48,4,splacona_cz
500,52,mezczyzna,13,4200,0,60.985626,48,0,splacona_cz
1000,70,kobieta,13,2291,4,74.525667,48,0,splacona_cz
500,30,kobieta,12,1447,8,25.065708,35.967146,1,splacona_cz
300,47,mezczyzna,11,1566.82,0,352.985626,48,8,splacona
396.89,63,kobieta,13,3700,8,30.591376,48,0,splacona_cz
200,76,kobieta,13,965,7,248.985626,48,0,splacona_cz
200,75,kobieta,13,1536,3,39.689938,48,0,splacona
300,72,mezczyzna,13,1426,8,80.985626,48,0,splacona_cz
300,31,mezczyzna,11,2700,0,67.985626,48,15,splacona
700,38,kobieta,11,3178.76,3,124.985626,48,4,splacona_cz
700,33,kobieta,11,3100,3,124.985626,48,4,splacona_cz
200,52,mezczyzna,12,1100,0,8.985626,14.394251,1,splacona
738.6,56,kobieta,12,1600,1,13.985626,17,19,splacona_cz
300,66,kobieta,13,802.83,2,204.985626,48,1,splacona_cz
200,29,kobieta,17,540,0,90.985626,48,0,odmowa
500,26,mezczyzna,12,1880,0,5.985626,12,423,windykacja
300,47,kobieta,98,911,8,101.985626,48,1,splacona_cz
390.88,60,kobieta,13,1400,1,49.985626,48,0,splacona_cz
300,47,kobieta,12,1038.68,4,24.394251,26.394251,423,windykacja
200,58,kobieta,99,780,4,4.854209,5.328542,4,splacona_cz
300,64,kobieta,13,1100,5,108.985626,48,0,splacona_cz
350,74,kobieta,11,1348.95,0,117.492813,48,0,splacona_cz
500,51,kobieta,17,990,4,75.985626,48,1,splacona_cz
349.66,65,mezczyzna,13,1601.87,4,48.985626,48,5,splacona_cz
2000,58,mezczyzna,98,20000,1,133.985626,48,4,splacona
400,66,mezczyzna,16,1473.04,5,168.985626,48,0,splacona_cz
257.27,55,mezczyzna,11,2100,5,41.427105,48,4,splacona_cz
600,64,kobieta,13,1233,1,127,48,0,splacona_cz
215.24,51,mezczyzna,16,1045,7,203,48,3,splacona_cz
200,59,kobieta,16,634,7,54.967146,48,0,splacona_cz
300,65,kobieta,13,1582.15,0,109,48,0,splacona_cz
300,61,mezczyzna,16,1398,0,397,48,5,splacona
600,62,mezczyzna,16,837,0,235,48,0,splacona_cz
400,61,kobieta,13,1500,4,64,48,10,splacona_cz
693.16,34,kobieta,11,2200,4,41,48,0,splacona
200,41,kobieta,11,2505,2,167.408624,48,0,splacona
500,32,kobieta,99,1200,0,2.737166,13.722793,0,odmowa
400,26,kobieta,17,1200,0,168.60575,48,1,splacona_cz
200,71,mezczyzna,13,1642.87,2,73.032854,48,0,splacona_cz
600,51,mezczyzna,16,2150,0,85.032854,48,3,splacona_cz
300,63,kobieta,13,714,1,226.032854,48,0,splacona_cz
1000,42,kobieta,98,6000,4,21.032854,48,4,splacona_cz
700,59,kobieta,13,1872,8,38.572895,48,0,splacona_cz
1000,44,kobieta,12,1300,0,61.032854,48,0,odmowa
600,55,kobieta,11,1300,0,71.835729,48,6,splacona
500,55,kobieta,12,2200,1,6.671458,11.591376,0,splacona_cz
400,59,kobieta,16,1589,1,30.638604,48,4,splacona_cz
300,51,mezczyzna,12,3000,0,57,48,0,splacona
300,39,kobieta,16,1300,0,28.032854,48,421,windykacja
300,56,kobieta,11,2800,3,13.032854,48,0,splacona_cz
200,57,kobieta,11,1187.06,1,137.032854,48,4,splacona_cz
500,24,mezczyzna,11,1800,0,12.967146,48,4,splacona_cz
391.97,65,kobieta,13,1507,2,63.065708,48,0,splacona
800,56,kobieta,13,3440,8,55.065708,48,0,splacona_cz
342.86,61,kobieta,13,1087,2,75.065708,48,98,splacona
600,27,mezczyzna,11,1500,0,23.065708,48,0,odmowa
200,63,mezczyzna,13,1162,8,224.967146,48,0,splacona_cz
380.9,56,kobieta,16,2300,9,66.112936,48,0,splacona
200,47,kobieta,12,990.34,1,59.572895,48,226,windykacja_sp
200,56,mezczyzna,11,1460.17,0,64.835729,48,4,splacona
400,51,kobieta,12,1000,8,36.065708,37.985626,0,splacona_cz
400,61,mezczyzna,12,1000,8,16.065708,26.689938,0,splacona_cz
800,69,kobieta,13,2120,3,122.770021,48,0,splacona_cz
900,66,mezczyzna,13,3040,0,205,48,1,splacona_cz
200,54,kobieta,12,1200,0,1.507187,3.032854,0,splacona
500,50,mezczyzna,13,941,0,72.098563,48,0,odmowa
400,67,kobieta,13,1137.19,0,100.164271,48,0,splacona_cz
1000,81,kobieta,13,2090,0,249.065708,48,0,splacona_cz
200,26,kobieta,11,1000,0,3.164271,48,417,windykacja
300,69,kobieta,13,1027,4,196.164271,48,1,splacona_cz
400,61,kobieta,13,1107,2,18.737166,48,0,splacona_cz
400,24,mezczyzna,98,1200,0,20.164271,48,5,splacona
200,61,kobieta,13,1635,8,123.737166,48,0,splacona_cz
438.67,51,kobieta,11,1577.42,1,209.164271,48,20,splacona
624.58,42,kobieta,98,5000,3,88.164271,48,6,splacona_cz
500,63,kobieta,13,1900,2,92.164271,48,0,splacona
500,44,kobieta,11,1738.57,1,61.164271,48,2,splacona_cz
400,63,kobieta,16,2084.79,2,145.164271,48,0,splacona
500,38,mezczyzna,98,1600,0,5.131417,48,0,odmowa
300,36,mezczyzna,99,750,0,1.197125,7.394251,5,splacona_cz
400,69,kobieta,13,1017,1,165.197125,48,0,splacona_cz
500,48,kobieta,11,1700,0,93.065708,48,0,splacona_cz
500,45,mezczyzna,12,1952.35,1,8.197125,11.985626,4,splacona_cz
200,57,kobieta,99,670,0,132.197125,48,0,splacona_cz
1000,22,mezczyzna,12,2800,0,21.835729,41.197125,0,odmowa
1000,20,kobieta,99,4800,0,9.197125,12,0,odmowa
300,67,kobieta,16,957,0,204.22998,48,0,splacona_cz
278.98,39,kobieta,98,1200,8,49.704312,48,0,splacona_cz
200,63,kobieta,13,714,9,226.22998,48,0,splacona
883.93,63,mezczyzna,13,2474,3,19.098563,48,3,splacona_cz
1000,35,mezczyzna,99,1190,0,3.229979,4.985626,0,odmowa
300,71,kobieta,13,1000,5,68.229979,48,0,splacona_cz
400,71,kobieta,13,1016,1,193.22998,48,0,splacona
561.8,66,kobieta,16,892,2,204.770021,48,1,splacona_cz
1500,58,mezczyzna,98,3000,1,72.901437,48,6,splacona_cz
600,43,mezczyzna,98,3014,0,106.22998,48,0,splacona
900,59,kobieta,17,684,8,193.671458,48,0,splacona_cz
200,62,kobieta,13,997,8,83.229979,48,0,splacona_cz
530,63,kobieta,13,1691.3,4,77.262834,48,10,splacona_cz
1000,66,kobieta,13,930,2,134.737166,48,0,splacona_cz
200,75,kobieta,13,620,0,157.262834,48,0,odmowa
500,44,mezczyzna,13,2000,0,21.229979,48,212,windykacja_sp
500,42,kobieta,11,1870,1,114.262834,48,414,windykacja
1300,56,kobieta,16,2300,0,66.310062,48,23,splacona_cz
600,73,kobieta,13,640,2,142.342916,48,0,splacona_cz
350,71,kobieta,13,729.03,9,261.262834,48,2,splacona_cz
500,75,kobieta,13,1372,0,145.262834,48,0,odmowa
400,34,kobieta,11,2200,0,14.671458,48,0,splacona
300,74,kobieta,13,1412,2,208.065708,48,0,splacona_cz
400,74,kobieta,13,1140,0,241.262834,48,0,splacona_cz
200,32,kobieta,12,1865,5,24.032854,34.722793,0,splacona_cz
400,27,kobieta,11,2300,0,26.262834,48,0,splacona
600,36,kobieta,11,2400,7,117.098563,48,10,splacona_cz
759.23,73,kobieta,13,2534,2,130.934292,48,10,splacona
700,62,kobieta,13,2066,8,133.295688,48,2,splacona_cz
300,71,mezczyzna,13,1420,2,56.671458,48,3,splacona
400,52,kobieta,11,1300,0,61.295688,48,0,odmowa
300,72,mezczyzna,13,562,4,85.295688,48,2,splacona_cz
315.12,74,mezczyzna,13,960,8,143.868583,48,2,splacona_cz
500,54,mezczyzna,11,1320,8,346.295688,48,0,splacona_cz
600,78,mezczyzna,13,2609,0,195.032854,48,0,splacona_cz
379.9,64,kobieta,13,930,5,97.868583,48,0,splacona_cz
750,56,mezczyzna,16,588,0,426.22998,48,58,splacona
265.58,63,kobieta,13,1189,8,73.605749,48,0,splacona_cz
200,34,mezczyzna,11,1800,8,169.295688,48,0,splacona_cz
300,38,mezczyzna,98,1200,0,4.065708,48,412,windykacja
500,42,kobieta,11,2824,0,105.295688,48,1,splacona_cz
996,48,mezczyzna,11,2500,4,207.901437,48,2,splacona_cz
597.15,48,mezczyzna,12,600,9,13.164271,27.131417,0,splacona_cz
500,23,mezczyzna,12,2100,0,2.164271,17.967146,189,splacona
500,32,mezczyzna,12,1651.78,0,8.131417,23.967146,0,odmowa
300,36,kobieta,12,1300,0,3.295688,7.952772,0,splacona_cz
300,55,kobieta,16,1500,3,5.704312,48,2,splacona_cz
300,27,mezczyzna,12,1100,0,8.295688,48.952772,0,splacona_cz
400,59,kobieta,11,1500,7,89.295688,48,2,splacona_cz
200,55,kobieta,16,1045.6,9,16.295688,48,0,splacona_cz
200,56,mezczyzna,11,1460.17,5,65.065708,48,0,splacona_cz
200,32,kobieta,12,980,8,14.295688,15.262834,1,splacona_cz
200,44,mezczyzna,11,2284.23,3,303.342916,48,0,splacona_cz
254.63,58,kobieta,16,634.64,7,140.295688,48,0,splacona_cz
200,70,kobieta,16,959.6,8,119.295688,48,0,splacona_cz
200,32,mezczyzna,11,2000,2,9.032854,48,0,splacona_cz
299.12,64,kobieta,16,1389,3,95.295688,48,0,splacona_cz
200,34,mezczyzna,99,1700,0,0.131417,1.459959,0,odmowa
200,73,kobieta,13,730,7,564.770021,48,1,splacona_cz
400,61,kobieta,16,1411,5,70.328542,48,2,splacona_cz
630,64,kobieta,13,3251,2,142.197125,48,0,splacona_cz
600,55,kobieta,11,1500,0,114.328542,48,0,splacona
1000,73,mezczyzna,13,2612,0,85.704312,48,0,splacona_cz
600,36,mezczyzna,99,1126,0,5.638604,16.229979,0,odmowa
974.28,74,kobieta,13,2100,7,59.394251,48,12,splacona
400,44,kobieta,11,1400,0,29.164271,48,1,splacona
300,36,kobieta,12,1200,8,12.967146,14.558522,0,splacona_cz
300,43,kobieta,11,1286.16,1,121.328542,48,0,splacona_cz
300,40,kobieta,12,1027,8,12.408624,59.967146,0,splacona_cz
400,68,kobieta,13,1547,0,72,48,0,odmowa
500,47,mezczyzna,99,1400,0,20.394251,20.919918,0,splacona
500,58,kobieta,12,1400,0,9,15.591376,7,splacona
1000,36,kobieta,12,1550,0,5.605749,24.197125,0,odmowa
374.91,55,kobieta,12,1000,2,49.131417,48,0,splacona_cz
1000,38,mezczyzna,99,1785,0,2.394251,2.919918,0,odmowa
350,63,kobieta,13,1130,0,107.394251,48,3,splacona_cz
267.98,53,kobieta,11,1050,7,37.408624,48,2,splacona_cz
200,22,kobieta,12,700,1,4.098563,5.689938,2,splacona
400,56,mezczyzna,11,1097,0,60.394251,48,0,odmowa
300,64,mezczyzna,12,1231,0,2.394251,7,0,splacona_cz
800,20,mezczyzna,99,728,0,1.394251,3.952772,0,odmowa
600,63,kobieta,13,3700,0,31,48,0,splacona_cz
500,54,kobieta,11,1700,0,209.394251,48,0,splacona_cz
200,61,kobieta,13,917,0,81.394251,48,0,splacona_cz
247.28,58,kobieta,13,611,7,143.131417,48,2,splacona_cz
300,47,kobieta,11,900,8,97.427105,48,6,splacona_cz
300,71,kobieta,13,729.03,2,261.427105,48,4,splacona_cz
300,54,mezczyzna,11,1300,0,456.164271,48,0,splacona
200,49,mezczyzna,11,1600,2,346.427105,48,409,windykacja
400,43,mezczyzna,11,2636,0,46.901437,48,0,splacona
392.6,55,kobieta,11,2368.57,1,414.427105,48,172,splacona
800,74,mezczyzna,13,2112,0,109.427105,48,0,odmowa
300,50,mezczyzna,13,3900,9,34.427105,48,4,splacona_cz
500,31,mezczyzna,12,1700,0,1.427105,119.985626,172,splacona
293.42,41,kobieta,12,1896,2,17.262834,18.821355,409,windykacja
325.58,53,kobieta,11,2065.98,1,183.328542,48,8,splacona_cz
202.28,61,mezczyzna,11,3000,9,216.427105,48,0,splacona_cz
205.44,66,kobieta,13,1350,7,115.262834,48,0,splacona_cz
350,55,kobieta,12,1700,9,58.901437,48,0,splacona_cz
400,37,kobieta,11,1228,0,37.868583,48,409,windykacja
550,55,kobieta,12,1675,8,13.427105,13.919918,4,splacona_cz
500,25,mezczyzna,11,2000,0,40.967146,48,0,splacona
300,51,kobieta,12,1200,0,61.459959,48,0,odmowa
300,61,kobieta,13,810,9,37.131417,48,0,splacona_cz
200,54,kobieta,13,1213,0,53.967146,48,7,splacona
600,46,mezczyzna,12,3500,3,190.671458,48,0,splacona_cz
500,48,mezczyzna,13,864.34,3,160.459959,48,0,splacona_cz
400,64,kobieta,13,917,2,80.459959,48,408,windykacja
600,73,kobieta,13,722,0,214.22998,48,0,odmowa
600,36,mezczyzna,99,2880,0,2.459959,12.985626,408,windykacja
237.94,65,kobieta,13,840,6,117.459959,48,4,splacona
227.88,66,mezczyzna,12,1100,8,26.328542,35.967146,0,splacona
